,主旨,原因,不合格原因暨檢出量詳細說明,法規限量標準,seg
1163,蘋果,農藥殘留含量不符規定,"檢出殘留農藥2,6-Diisopropylnaphthalene (2,6-DIPN) 0.06 ppm",本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Diisopropylnaphthalene', 'DIPN', '0.06', 'ppm']"
1164,辣木籽油,含污染物質及毒素不符規定,檢出苯(a)駢芘5.5 µg/kg,依據「食品中污染物質及毒素衛生標準」，苯(a)駢芘（直接供食或作為食品加工使用之油脂，不包括可可脂）限量為2.0 µg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出', '駢芘', '5.5', 'kg']"
1165,鮮水蜜桃,農藥殘留含量不符規定,檢出殘留農藥賽安勃0.04 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '賽安勃', '0.04', 'ppm']"
1166,鮮水蜜桃,農藥殘留含量不符規定,檢出殘留農藥賽安勃 0.04 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '賽安勃', '0.04', 'ppm']"
1167,調味醬塊,防腐劑含量不符規定,檢出防腐劑苯甲酸0.15 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，案內產品非表列准用之食品範圍，本案不符合食品安全衛生管理法第18條規定。,"['檢出', '0.15', 'kg', '苯甲酸', '防腐']"
1168,陶鍋底盤(4號),容器具-溶出試驗不符規定,"案內產品以4%醋酸(95℃,30分鐘)溶出試驗結果，蒸發殘渣為 113 ppm","依據「食品器具容器包裝衛生標準」，其內部材質與內容物直接接觸之部分為甲醛-三聚氰胺者其溶出試驗以4%醋酸(95℃,30分鐘)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。","['案內產品', '4%', '95', '30', '分鐘', '溶出', '試驗', '結果', '蒸發', '殘渣', '113', 'ppm', '醋酸']"
1169,陶鍋底盤(4號),容器具-溶出試驗不符規定,"案內產品以4%醋酸(95℃,30分鐘)溶出試驗結果，蒸發殘渣為 110 ppm","依據「食品器具容器包裝衛生標準」，其內部材質與內容物直接接觸之部分為甲醛-三聚氰胺者其溶出試驗以4%醋酸(95℃,30分鐘)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。","['案內產品', '4%', '95', '30', '分鐘', '溶出', '試驗', '結果', '蒸發', '殘渣', '110', 'ppm', '醋酸']"
1170,乾燥桑黃粉,農藥殘留含量不符規定,檢出殘留農藥克美素0.90 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥克美素', '0.90', 'ppm']"
1171,乾燥裂褶菌粉,農藥殘留含量不符規定,檢出殘留農藥克美素0.28 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥克美素', '0.28', 'ppm']"
1172,冷凍黑旗,重金屬含量不符規定,檢出重金屬鎘0.09 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘(其他魚類)限量為0.05 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出', '屬鎘', '0.09', 'mg', 'kg', '重金']"
1173,調味醬塊,防腐劑含量不符規定,檢出防腐劑苯甲酸0.27 g/kg，,依據「食品添加物使用範圍及限量暨規格標準」，案內產品非表列准用之食品範圍，本案不符合食品安全衛生管理法第18條規定。,"['檢出', '0.27', 'kg', '苯甲酸', '防腐']"
1174,食品接觸用紙托,容器具-溶出試驗不符規定,"案內產品以4％醋酸(60℃,30分鐘)溶出試驗結果，其蒸發殘渣值55 ppm","依據「食品器具容器包裝衛生標準」，以聚乙烯(PE)為原料之塑膠類，其以4％醋酸(60℃,30分鐘)溶出試驗蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。","['案內產品', '60', '30', '分鐘', '溶出', '試驗', '結果', '其蒸發', '殘渣值', '55', 'ppm', '醋酸']"
1175,食品接觸用紙托,容器具-溶出試驗不符規定,"案內產品以4％醋酸(60℃,30分鐘)溶出試驗結果，其蒸發殘渣值74 ppm","依據「食品器具容器包裝衛生標準」，以聚乙烯(PE)為原料之塑膠類，其以4％醋酸(60℃,30分鐘)溶出試驗蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。","['案內產品', '60', '30', '分鐘', '溶出', '試驗', '結果', '其蒸發', '殘渣值', '74', 'ppm', '醋酸']"
1176,葡萄籽萃取物,防腐劑含量不符規定,檢出防腐劑丙酸0.9 g/kg，,依據「食品添加物使用範圍及限量暨規格標準」，案內產品非表列准用之食品範圍，且業者未能提具相關佐證資料合理說明，本案不符合食品安全衛生管理法第18條規定。,"['檢出', '0.9', 'kg', '丙酸', '防腐']"
1177,Chef Seasons孜然粉香料罐,農藥殘留含量不符規定,檢出殘留農藥亞滅培0.3 ppm、亞托敏0.11 ppm、貝芬替0.47 ppm、菲克利0.08 ppm、佈飛松0.19 ppm、賽速安0.09 ppm、三賽唑0.65 ppm、芬普尼0.004 ppm、克收欣0.06 ppm、得克利0.26 ppm,依據「農藥殘留容許量標準」，農藥亞滅培、亞托敏、貝芬替、菲克利、佈飛松、賽速安、克收欣、得克利定量極限為0.05 ppm；芬普尼定量極限為0.002 ppm；三賽唑為不得檢出，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '菲克', '檢出', '殘留', '農藥亞', '滅培', '0.3', '亞托敏', '0.11', '貝芬', '0.47', '0.08', '飛松', '0.19', '賽速安', '0.09', '三賽', '0.65', '芬普尼', '0.004', '克收欣', '0.06', '0.26', '克利']"
1178,羅吔醬,甜味劑含量不符規定,檢出甜味劑糖精0.31 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，案內產品非屬糖精表列准用之食品範圍，本案不符合食品安全衛生管理法第18條規定。,"['檢出', '0.31', 'kg', '糖精', '甜味']"
1179,鮮蜜瓜,農藥殘留含量不符規定,檢出殘留農藥撲滅松0.07 ppm,依據「農藥殘留容許量標準」，農藥撲滅松定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '滅松', '0.07', 'ppm']"
1180,鮮蚵肉(FRESH OYSTER MEAT),微生物含量不符規定,檢出諾羅病毒陽性,染有病原性生物之食品不得輸入，本案不符合食品安全衛生管理法第15條第1項第4款規定。,"['檢出', '諾羅', '陽性', '病毒']"
1181,綠豆仁(HULLED MUNG BEANS),農藥殘留含量不符規定,檢出殘留農藥賽速安0.04 ppm,依據「農藥殘留容許量標準」，農藥賽速安容許量為0.02 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥賽', '速安', '0.04', 'ppm']"
1182,綠豆仁(MUNG BEAN),農藥殘留含量不符規定,檢出殘留農藥賽速安0.03 ppm、芬普尼0.002 ppm,依據「農藥殘留容許量標準」，農藥賽速安容許量為0.02 ppm、芬普尼定量極限為0.001 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥賽', '速安', '0.03', '芬普尼', '0.002']"
1183,"辣椒粉(""KOBE"" BONCABE 10)",農藥殘留含量不符規定,檢出殘留農藥芬普尼0.007 ppm,依據「農藥殘留容許量標準」，農藥芬普尼定量極限為0.002 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥芬', '普尼', '0.007', 'ppm']"
1184,孜然 (LOT.2A3102)(CUMIN SEEDS),農藥殘留含量不符規定,檢出殘留農藥佈滅淨0.40 ppm、亞滅培0.16 ppm及賽洛寧0.23 ppm,依據「農藥殘留容許量標準」，農藥佈滅淨為不得檢出、亞滅培及賽洛寧定量極限為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥', '滅淨', '0.40', '亞滅培', '0.16', '及賽', '洛寧', '0.23']"
1185,綠茶萃取(GREEN TEA EXTRACT),農藥殘留含量不符規定,檢出殘留農藥五氯苯胺0.06 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '五氯', '0.06', 'ppm', '苯胺']"
1186,澤蟹(LIVE SAWAGANI CRAB),動物用藥殘留含量不符規定,檢出動物用藥硝基呋喃代謝物 Semicarbazide (SC) 2 ppb,本案不符合食品安全衛生管理法第15條有關「動物用藥殘留標準」規定。,"['檢出', '動物', '用藥', '代謝物', 'Semicarbazide', 'SC', 'ppb', '呋喃', '硝基']"
1187,烏赤麻(BLACK BROWN SESAME SEEDS (WITH HULLS)),農藥殘留含量不符規定,檢出殘留農藥Acetochlor 0.02 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Acetochlor', '0.02', 'ppm']"
1188,冷凍紅條(魚片)(FROZEN LEOPARD CORAL FILLET (PLECTROPOMUS LEOPARDUS)),重金屬含量不符規定,檢出鎘0.09 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘限量為0.05 mg/kg，本案不符合食品安全衛生管理法17條規定。,"['檢出鎘', '0.09', 'mg', 'kg']"
1189,鮮洋蔥(FRESH ONION),農藥殘留含量不符規定,檢出殘留農藥覆滅蟎0.04 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '覆滅', '0.04', 'ppm']"
1190,"德麥香吉士片(ORANGE SLICES WITH PEEL IN SYRUP FANCY ""TEHMAG"")",農藥殘留含量不符規定,檢出殘留農藥甲基陶斯松0.02 ppm,依據「農藥殘留容許量標準」，農藥甲基陶斯松定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '陶斯松', '0.02', 'ppm', '甲基']"
1191,冷凍小鯊魚條(水鯊)(FROZEN SMALL SHARK FISH (PRIONACE GLAUCA)),重金屬含量不符規定,檢出鎘0.10 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘限量為0.05 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出鎘', '0.10', 'mg', 'kg']"
1192,冷凍黑旗(BLACK MARLIN),重金屬含量不符規定,檢出鎘0.07 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘限量為0.05 mg/kg，本案不符合食品安全衛生管理法17條規定。,"['檢出鎘', '0.07', 'mg', 'kg']"
1193,紅茶(BLACK TEA GRADE D 150 CTNS),農藥殘留含量不符規定,檢出殘留農藥愛殺松0.06 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '愛殺', '0.06', 'ppm']"
1194,丁香枝(STEM CLOVE 丁香枝 (非中藥用) 輸入供食品用 INVOICE NO: 002/INV-EKS/VIII/2020 製造日期:2020.07.17. 有效日期:2023.07.17.),農藥殘留含量不符規定,檢出殘留農藥芬普尼0.003 ppm,依據「農藥殘留容許量標準」，農藥芬普尼定量極限為0.002 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥芬', '普尼', '0.003', 'ppm']"
1195,冷凍旗魚卵(MARLIN ROE),重金屬含量不符規定,檢出鎘0.13 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘限量為0.05 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出鎘', '0.13', 'mg', 'kg']"
1196,冷凍紅旗魚(FROZEN RED MARLIN DWT),重金屬含量不符規定,檢出鎘0.12 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘限量為0.05 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出鎘', '0.12', 'mg', 'kg']"
1197,油綠豆(未去殼)(GREEN MUNG BEANS),農藥殘留含量不符規定,檢出殘留農藥環克座0.11 ppm,依據「農藥殘留容許量標準」，農藥環克座容許量為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '環克座', '0.11', 'ppm']"
1198,TLI離乳食湯匙套裝(盒裝)(99188 (4973655 20955 4) TLI FEEDING SPOON SET W/CASE),容器具-溶出試驗不符規定,"案內產品以正庚烷(25℃,1小時)溶出試驗結果，蒸發殘渣為46 ppm","依據「食品器具容器包裝衛生標準」，以聚丙烯為合成原料之塑膠類器具其溶出試驗以正庚烷(25℃,1小時)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。","['庚烷', '案內產品', '25', '小時', '溶出', '試驗', '結果', '蒸發', '殘渣', '46', 'ppm']"
1199,鮮藍莓(FRESH BLUEBERRIES),農藥殘留含量不符規定,檢出殘留農藥賽安勃0.37 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '賽安勃', '0.37', 'ppm']"
1200,魚肝(CHILLED LIVER OF ANGLER FISH),重金屬含量不符規定,檢出鎘0.16 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘限量為 0.05 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出鎘', '0.16', 'mg', 'kg']"
1201,冷凍小鯊魚條(水鯊)(FROZEN SMALL SHARK FISH (PRIONACE GLAUCA)),重金屬含量不符規定,檢出鎘0.13 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘限量為0.05 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出鎘', '0.13', 'mg', 'kg']"
1202,冷凍丁香魚(FROZEN SILVER ANCHOVY (SPRATELLOIDES GRACILIS)),重金屬含量不符規定,檢出鎘0.12 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘限量為0.05 mg/kg，本案不符合食品安全衛生管理法17條規定。,"['檢出鎘', '0.12', 'mg', 'kg']"
1203,黃洋蔥(FRESH YELLOW ONIONS),農藥殘留含量不符規定,檢出殘留農藥芬普尼及芬普尼代謝物0.004 ppm,依據「農藥殘留容許量標準」，農藥芬普尼定量極限為0.001 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥芬', '普尼及', '芬普尼代', '謝物', '0.004', 'ppm']"
1204,Hachi山椒粉(Japanese pepper),農藥殘留含量不符規定,檢出殘留農藥亞滅培0.17 ppm、克凡派1.65 ppm、克收欣4.55 ppm及得克利0.06 ppm,依據「農藥殘留容許量標準」，農藥亞滅培、克凡派、克收欣及得克利定量極限皆為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥亞', '滅培', '0.17', '克凡', '1.65', '克收欣', '4.55', '0.06', '克利']"
1205,辣椒片(CHILLI FLAKES),農藥殘留含量不符規定,檢出殘留農藥菲克利0.1 ppm、芬普尼0.003 ppm,依據「農藥殘留容許量標準」，農藥菲克利定量極限為0.05 ppm、芬普尼定量極限為0.002 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '菲克', '檢出', '殘留', '農藥', '0.1', '芬普尼', '0.003']"
1206,花生醬塊(BUMBU PECEL SINTI),真菌毒素含量不符規定,檢出黃麴毒素B1 4 ppb、總黃麴毒素5 ppb,依據「食品中污染物質及毒素衛生標準」，黃麴毒素B1限量為2 ppb、總黃麴毒素限量為4 ppb，本案不符食品安全衛生管理法第17條規定。,"['ppb', '毒素', '檢出', 'B1', '總黃']"
1207,"3194304 素魚子醬 紅色 85公克(RED SEAWEED PEARLS 85G, AMB)",防腐劑含量不符規定,檢出防腐劑苯甲酸0.43 g/kg、己二烯酸0.8 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，防腐劑用量以Benzoic acid計為1.0 g/kg以下、用量以Sorbic acid計為1.0 g/kg以下，且混合使用防腐劑時，每一種防腐劑之使用量除以其用量標準所得之數值(即使用量/用量標準)總和不得大於1，本案不符合食品安全衛生管理法第18條規定。,"['kg', '己二烯', '檢出', '0.43', '0.8', '苯甲酸', '防腐']"
1208,竹笙(LONG NET STINKHORN (竹笙)(乾品)),重金屬含量不符規定,檢出鎘5 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘限量為2 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出鎘', 'mg', 'kg']"
1209,冷凍吻仔魚(FROZEN SMALL FISH (STOLEPHORUS PUNCTIFER)),重金屬含量不符規定,檢出鎘0.06 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘限量為0.05 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出鎘', '0.06', 'mg', 'kg']"
1210,印度香米(ZABREEN BASMATI RICE 輸入供食品用 INVOICE NO.SLT001-20 -21),農藥殘留含量不符規定,檢出殘留農藥賽速安0.2 ppm,依據「農藥殘留容許量標準」，農藥賽速安容許量為0.1 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥賽', '速安', '0.2', 'ppm']"
1211,鮮辣椒(FRESH CAPSICUM ),農藥殘留含量不符規定,檢出殘留農藥扶吉胺0.05 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '扶吉胺', '0.05', 'ppm']"
1212,濾掛式咖啡 柑橘風味咖啡(1P)(4515996018565 CAF'E KALDI DRIP COFFEE ORANGE FLAVORED COFFEE),農藥殘留含量不符規定,檢出殘留農藥2-Phenylphenol 0.05 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Phenylphenol', '0.05', 'ppm']"
